rx,tx,len,type,rateMbps,rssi
02a9718f10aa,0a3204a11077,1544,8,2,58
b7cc04c1700c,0a3204a11077,1544,8,24,57
0a3204a11077,7b376686c0e6,108,8,5,-55
0a3204a11077,b7cc04c1700c,108,8,54,-42
ffffffffffff,e65a2b5aa0d4,98,8,1,-77
ffffffffffff,fc79ea546019,91,0,1,-73
7b376686c0e6,0a3204a11077,1544,8,11,57
ffffffffffff,fc79ea546019,82,8,1,-73
0a3204a11077,0c456dd3601d,108,8,9,-54
0a3204a11077,0c456dd3601d,108,8,6,-52
0a3204a11077,0c456dd3601d,108,8,5,-53
0c456dd3601d,0a3204a11077,1544,8,12,55
d10a78ddd830,0a3204a11077,1544,8,12,54
0a3204a11077,49dc042170bc,108,8,48,-51
49dc042170bc,0a3204a11077,1544,8,11,57
d090b7277cb3,0a3204a11077,1544,8,18,55
0a3204a11077,d090b7277cb3,120,8,2,-59
93ea1453ecf8,0a3204a11077,1544,8,11,56
0a3204a11077,d090b7277cb3,120,8,1,-58
0a3204a11077,96e6224fd415,108,8,12,-49
0a3204a11077,96e6224fd415,108,8,12,-51
0a3204a11077,96e6224fd415,108,8,12,-50
96e6224fd415,0a3204a11077,1544,8,5,54
0a3204a11077,96e6224fd415,108,8,12,-49
23210a2220af,0a3204a11077,1544,8,11,55
0a3204a11077,23210a2220af,108,8,12,-53
deb109bed87b,0a3204a11077,1544,8,11,56
0a3204a11077,23210a2220af,108,8,11,-50
0a3204a11077,7d4d90d2ac77,108,8,2,-53
0a3204a11077,23210a2220af,108,8,9,-52
ffffffffffff,0a3204a11077,153,0,0,0
0a3204a11077,23210a2220af,108,8,6,-53
7d4d90d2ac77,0a3204a11077,1544,8,11,47
0a3204a11077,73dfb6185cb5,108,8,6,-57
73dfb6185cb5,0a3204a11077,104,8,5,56
a77008a22036,0a3204a11077,1544,8,12,57
0a3204a11077,96e6224fd415,108,8,12,-50
0a3204a11077,860378b2f4e6,96,8,18,-44
0a3204a11077,96e6224fd415,108,8,9,-49
0a3204a11077,a77008a22036,108,8,2,-51
ffffffffffff,0a3204a11077,86,8,11,-128
0a3204a11077,96e6224fd415,108,8,9,-50
860378b2f4e6,0a3204a11077,1544,8,2,59
02a9718f10aa,0a3204a11077,1544,8,5,58
b7cc04c1700c,0a3204a11077,1544,8,24,53
0a3204a11077,a77008a22036,108,8,2,-52
0a3204a11077,93ea1453ecf8,108,8,9,-58
0a3204a11077,7b376686c0e6,108,8,5,-51
0a3204a11077,7b376686c0e6,108,8,2,-43
0a3204a11077,a77008a22036,108,8,1,-52
0a3204a11077,a77008a22036,108,8,1,-52
0a3204a11077,a77008a22036,108,8,1,-53
0a3204a11077,7b376686c0e6,108,8,1,-52
0a3204a11077,a77008a22036,108,8,1,-55
0a3204a11077,7b376686c0e6,108,8,1,-47
0a3204a11077,96e6224fd415,108,8,9,-53
0a3204a11077,96e6224fd415,108,8,2,-53
7b376686c0e6,0a3204a11077,1544,8,5,56
0a3204a11077,96e6224fd415,108,8,1,-52
0a3204a11077,96e6224fd415,108,8,1,-55
0a3204a11077,7b376686c0e6,108,8,1,-57
0a3204a11077,7b376686c0e6,108,8,1,-44
d91371a56068,e65a2b5aa0d4,164,8,5,-79
0a3204a11077,8bc8280160dd,20,4,11,-57
0a3204a11077,b7cc04c1700c,108,8,54,-42
